HTTPS | captive.apple.com/
HTTPS | graph.facebook.com/v14.0
HTTPS | graph.facebook.com/v14.0
HTTPS | graph.facebook.com/v14.0
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | 192.168.1.252/proxyff/login.php
HTTPS | m.hotmail.com/Microsoft-Server-ActiveSync?User=lethekhoi209@hotmail.com&DeviceId=BJ9J10CAKP4KDC6SSLDTP1FTQO&DeviceType=iPhone&Cmd=FolderSync
HTTPS | m.hotmail.com/Microsoft-Server-ActiveSync?User=lethekhoi209@hotmail.com&DeviceId=BJ9J10CAKP4KDC6SSLDTP1FTQO&DeviceType=iPhone&Cmd=Ping
HTTPS | m.hotmail.com/Microsoft-Server-ActiveSync
HTTPS | 192.168.1.252/proxyff/login.php
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | 192.168.1.252/proxyff/login.php
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | m.hotmail.com/Microsoft-Server-ActiveSync?(null)
HTTPS | m.hotmail.com/Microsoft-Server-ActiveSync?User=lethekhoi209@hotmail.com&DeviceId=BJ9J10CAKP4KDC6SSLDTP1FTQO&DeviceType=iPhone&Cmd=Sync
HTTPS | m.hotmail.com/Microsoft-Server-ActiveSync?User=lethekhoi209@hotmail.com&DeviceId=BJ9J10CAKP4KDC6SSLDTP1FTQO&DeviceType=iPhone&Cmd=Ping
HTTPS | 192.168.1.252/proxyff/update_policy.php
HTTPS | 192.168.1.252/proxyff/update_policy.php
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | 192.168.1.252/proxyff/update_policy.php
HTTPS | 192.168.1.252/proxyff/update_policy.php
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | 192.168.1.252/proxyff/dashboard.php
HTTPS | graph.facebook.com/v14.0/2036793259884297?access_token=2036793259884297%7C1c7cf500e85789e06314a0a6308546e8&fields=app_events_config.os_version%2826.5%29&format=json&include_headers=false&sdk=ios
HTTPS | version.common.redflamenco.com/live/ver.php?version=1.123.1&lang=vn&device=ios&channel=ios&appstore=apple&region=DEFAULT&release_version=OB53&whitelist_version=&whitelist_sp_version=&device_name=iPhone12_3&device_CPU=arm64e&device_GPU=Apple%20A13%20GPU&device_mem=3770
HTTPS | graph.facebook.com/v14.0/2036793259884297/mobile_sdk_gk?fields=gatekeepers&format=json&include_headers=false&os_version=26.5&platform=ios&sdk=ios&sdk_version=14.1.0
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/fileinfo
HTTPS | graph.facebook.com/v14.0/2036793259884297/ios_skadnetwork_conversion_config?access_token=2036793259884297%7C1c7cf500e85789e06314a0a6308546e8&fields=&format=json&include_headers=false&sdk=ios
HTTPS | graph.facebook.com/v14.0/2036793259884297/aem_conversion_configs?advertiser_ids=%5B%5D&fields=&format=json&include_headers=false&sdk=ios
HTTPS | graph.facebook.com/v14.0/2036793259884297/activities
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_22_m.ejYPIkueXnzqYVu7MypxcPxBcqE~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/preview_female_finishmove_gb_ct.jEwuCmhZH85ufOe5SHdEwvstToA~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_01_f.3XBq1JdH3QsBt7vwvkp0GNS~2FniQ~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/ff_vfx_emote_male_sparta.hwdRqMD15WS9~2FpRC5o5UIpQhofo~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_28_m.JQf5gX88tOPHJjgT2Z2vLoFKLMU~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/preview_female_finishmove_gb_ct.jEwuCmhZH85ufOe5SHdEwvstToA~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/config_csloadoutdata.pcZ1HF6NDtuFhn778aLHuFYg35E~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_24_f.tx~2B4pc4qQiKIO4Q1g7eT4C54hKw~3D
HTTPS | bag.itunes.apple.com/bag.xml?deviceClass=iPhone&format=json&os=iOS&osVersion=26.5&product=appstored&productVersion=1.0&profile=appstored&profileVersion=1&storefront=143471-43,29
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/vfx_gb_ct_execution.33K~2FpDVEz2gRe4Ss5B~2FD~2FCWQboY~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_bgm_ob53_worldcup25_lobby.69tKIv6qcCmgU0m4fym~2FwbT2miI~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_07_m.2IUqmHcDJDnkj7TMDCRIN9RCA5k~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_20_f.ld6ZfJGU1iMgzJYY8WqPfbIXvOo~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/ff_vfx_ingame_female_cos_br_soccer_yellow_top.FHKhulEFrug~2B0W0OVt81Bdf5XNo~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_03_m.Hlf~2Bkwg7sZryw2V~2FmiwtchQId~2Bw~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_09_m.LY1dAoF7yg0kHAzBdqvl1Ul4cFM~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_26_m.niyj~2BCtc1qLnZVqxG28E8s3Lq4I~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_05_f.1rhozSrjHRokLbz3B81cMpLT6ig~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/vfx_ingamelastkill_male_mac10_eclipse.E8VuXIU2kA6Z~2FTn~2FL60ZMOhyYoI~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_30_f.oK31auYPh36~2FmdMrrx4fR7CqP8U~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/male_1p_backpack_ghost25_003.X6Nc39jn9JAOWXlSgJg5DNgMNf8~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_t_53_ing_chat_13_m.xAV~2FAYyU3qQJB8RNAYJGJeLK5H8~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/sound_bambinolatam53_voice_item_01_m_en.o7Gm9Z~2FOGCbxkLydjjwMdZi9zAA~3D
HTTPS | friend.gc.apple.com/WebObjects/GKFriendService.woa/wa/getFriendPlayerIds
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/ff_vfx_ingame_male_cos_br_soccer_yellow_face.6b7TLuHa22CNkt4FPUt6Im9B2Ac~3D
HTTPS | dl-core.cdn.freefiremobile.com/live/ABHotUpdates/ios/1.123.17/gameassetbundles/male_gb_ct_execution_lobby.cIH2KWD8MrUFjV559XgT7xVrWb8~3D
